Wait Time,Nationality,Outcome,Period in which decisions made,Count
1 year to under 1.5 years,Vietnam,Grant,2017 Q2,1
1 year to under 1.5 years,Afghanistan,Grant,2017 Q3,16
1 year to under 1.5 years,Albania,Grant,2017 Q3,3
1 year to under 1.5 years,Bangladesh,Grant,2017 Q3,2
1 year to under 1.5 years,Cameroon,Grant,2017 Q3,1
1 year to under 1.5 years,Congo (Democratic Republic),Grant,2017 Q3,1
1 year to under 1.5 years,Eritrea,Grant,2017 Q3,4
1 year to under 1.5 years,Ethiopia,Grant,2017 Q3,1
1 year to under 1.5 years,Guinea,Grant,2017 Q3,1
1 year to under 1.5 years,Iran,Grant,2017 Q3,12
1 year to under 1.5 years,Iraq,Grant,2017 Q3,6
1 year to under 1.5 years,Jamaica,Grant,2017 Q3,1
1 year to under 1.5 years,Libya,Grant,2017 Q3,1
1 year to under 1.5 years,Nigeria,Grant,2017 Q3,1
1 year to under 1.5 years,Pakistan,Grant,2017 Q3,4
1 year to under 1.5 years,Refugee,Grant,2017 Q3,1
1 year to under 1.5 years,Somalia,Grant,2017 Q3,2
1 year to under 1.5 years,Stateless,Grant,2017 Q3,7
1 year to under 1.5 years,Syria,Grant,2017 Q3,19
1 year to under 1.5 years,Tanzania,Grant,2017 Q3,1
1 year to under 1.5 years,Thailand,Grant,2017 Q3,1
1 year to under 1.5 years,Uganda,Grant,2017 Q3,1
1 year to under 1.5 years,Vietnam,Grant,2017 Q3,1
1 year to under 1.5 years,Afghanistan,Grant,2017 Q4,18
1 year to under 1.5 years,Albania,Grant,2017 Q4,7
1 year to under 1.5 years,Bangladesh,Grant,2017 Q4,2
1 year to under 1.5 years,Cameroon,Grant,2017 Q4,1
1 year to under 1.5 years,China,Grant,2017 Q4,1
1 year to under 1.5 years,Congo,Grant,2017 Q4,1
1 year to under 1.5 years,Congo (Democratic Republic),Grant,2017 Q4,2
1 year to under 1.5 years,Egypt,Grant,2017 Q4,2
1 year to under 1.5 years,Eritrea,Grant,2017 Q4,27
1 year to under 1.5 years,Ethiopia,Grant,2017 Q4,3
1 year to under 1.5 years,Iran,Grant,2017 Q4,10
1 year to under 1.5 years,Iraq,Grant,2017 Q4,7
1 year to under 1.5 years,Libya,Grant,2017 Q4,2
1 year to under 1.5 years,Malawi,Grant,2017 Q4,1
1 year to under 1.5 years,Morocco,Grant,2017 Q4,1
1 year to under 1.5 years,Nigeria,Grant,2017 Q4,2
1 year to under 1.5 years,Pakistan,Grant,2017 Q4,6
1 year to under 1.5 years,Sierra Leone,Grant,2017 Q4,1
1 year to under 1.5 years,Somalia,Grant,2017 Q4,6
1 year to under 1.5 years,Sri Lanka,Grant,2017 Q4,1
1 year to under 1.5 years,Stateless,Grant,2017 Q4,5
1 year to under 1.5 years,Sudan,Grant,2017 Q4,22
1 year to under 1.5 years,Syria,Grant,2017 Q4,19
1 year to under 1.5 years,Uganda,Grant,2017 Q4,2
1 year to under 1.5 years,Vietnam,Grant,2017 Q4,8
1 year to under 1.5 years,Zambia,Grant,2017 Q4,1
1 year to under 1.5 years,Afghanistan,Grant,2018 Q1,15
1 year to under 1.5 years,Albania,Grant,2018 Q1,8
1 year to under 1.5 years,Algeria,Grant,2018 Q1,2
1 year to under 1.5 years,Bangladesh,Grant,2018 Q1,3
1 year to under 1.5 years,Belarus,Grant,2018 Q1,1
1 year to under 1.5 years,Cameroon,Grant,2018 Q1,1
1 year to under 1.5 years,Congo (Democratic Republic),Grant,2018 Q1,2
1 year to under 1.5 years,Egypt,Grant,2018 Q1,1
1 year to under 1.5 years,Eritrea,Grant,2018 Q1,30
1 year to under 1.5 years,Ethiopia,Grant,2018 Q1,7
1 year to under 1.5 years,"Gambia, The",Grant,2018 Q1,2
1 year to under 1.5 years,Ghana,Grant,2018 Q1,2
1 year to under 1.5 years,India,Grant,2018 Q1,2
1 year to under 1.5 years,Iran,Grant,2018 Q1,8
1 year to under 1.5 years,Iraq,Grant,2018 Q1,9
1 year to under 1.5 years,Jamaica,Grant,2018 Q1,1
1 year to under 1.5 years,Jordan,Grant,2018 Q1,1
1 year to under 1.5 years,Kenya,Grant,2018 Q1,1
1 year to under 1.5 years,Lebanon,Grant,2018 Q1,1
1 year to under 1.5 years,Libya,Grant,2018 Q1,7
1 year to under 1.5 years,Malawi,Grant,2018 Q1,1
1 year to under 1.5 years,Morocco,Grant,2018 Q1,4
1 year to under 1.5 years,Nigeria,Grant,2018 Q1,5
1 year to under 1.5 years,Pakistan,Grant,2018 Q1,2
1 year to under 1.5 years,Philippines,Grant,2018 Q1,1
1 year to under 1.5 years,Refugee,Grant,2018 Q1,3
1 year to under 1.5 years,Russia,Grant,2018 Q1,1
1 year to under 1.5 years,Rwanda,Grant,2018 Q1,1
1 year to under 1.5 years,Saudi Arabia,Grant,2018 Q1,2
1 year to under 1.5 years,Sierra Leone,Grant,2018 Q1,1
1 year to under 1.5 years,Somalia,Grant,2018 Q1,7
1 year to under 1.5 years,Sri Lanka,Grant,2018 Q1,3
1 year to under 1.5 years,St. Kitts and Nevis,Grant,2018 Q1,2
1 year to under 1.5 years,Sudan,Grant,2018 Q1,27
1 year to under 1.5 years,Syria,Grant,2018 Q1,8
1 year to under 1.5 years,Thailand,Grant,2018 Q1,1
1 year to under 1.5 years,Turkey,Grant,2018 Q1,1
1 year to under 1.5 years,Vietnam,Grant,2018 Q1,9
1 year to under 1.5 years,Yemen,Grant,2018 Q1,1
1 year to under 1.5 years,Zimbabwe,Grant,2018 Q1,1
1 year to under 1.5 years,Afghanistan,Grant,2018 Q2,11
1 year to under 1.5 years,Albania,Grant,2018 Q2,1
1 year to under 1.5 years,Armenia,Grant,2018 Q2,1
1 year to under 1.5 years,Bangladesh,Grant,2018 Q2,1
1 year to under 1.5 years,British overseas citizens,Grant,2018 Q2,1
1 year to under 1.5 years,Burma,Grant,2018 Q2,1
1 year to under 1.5 years,Cameroon,Grant,2018 Q2,3
1 year to under 1.5 years,Congo (Democratic Republic),Grant,2018 Q2,3
1 year to under 1.5 years,Eritrea,Grant,2018 Q2,11
1 year to under 1.5 years,Ethiopia,Grant,2018 Q2,10
1 year to under 1.5 years,Ghana,Grant,2018 Q2,1
1 year to under 1.5 years,Guinea,Grant,2018 Q2,1
1 year to under 1.5 years,Indonesia,Grant,2018 Q2,1
1 year to under 1.5 years,Iran,Grant,2018 Q2,5
1 year to under 1.5 years,Iraq,Grant,2018 Q2,8
1 year to under 1.5 years,Kenya,Grant,2018 Q2,1
1 year to under 1.5 years,Libya,Grant,2018 Q2,7
1 year to under 1.5 years,Nigeria,Grant,2018 Q2,8
1 year to under 1.5 years,Pakistan,Grant,2018 Q2,2
1 year to under 1.5 years,Refugee,Grant,2018 Q2,2
1 year to under 1.5 years,Senegal,Grant,2018 Q2,1
1 year to under 1.5 years,Sri Lanka,Grant,2018 Q2,3
1 year to under 1.5 years,Stateless,Grant,2018 Q2,1
1 year to under 1.5 years,Sudan,Grant,2018 Q2,13
1 year to under 1.5 years,Syria,Grant,2018 Q2,2
1 year to under 1.5 years,Turkey,Grant,2018 Q2,7
1 year to under 1.5 years,Vietnam,Grant,2018 Q2,3
1 year to under 1.5 years,Afghanistan,Grant,2018 Q3,5
1 year to under 1.5 years,Albania,Grant,2018 Q3,2
1 year to under 1.5 years,Angola,Grant,2018 Q3,1
1 year to under 1.5 years,Azerbaijan,Grant,2018 Q3,1
1 year to under 1.5 years,Bangladesh,Grant,2018 Q3,5
1 year to under 1.5 years,Cameroon,Grant,2018 Q3,1
1 year to under 1.5 years,Congo (Democratic Republic),Grant,2018 Q3,1
1 year to under 1.5 years,Eritrea,Grant,2018 Q3,20
1 year to under 1.5 years,Ghana,Grant,2018 Q3,1
1 year to under 1.5 years,India,Grant,2018 Q3,1
1 year to under 1.5 years,Iran,Grant,2018 Q3,7
1 year to under 1.5 years,Iraq,Grant,2018 Q3,8
1 year to under 1.5 years,Libya,Grant,2018 Q3,2
1 year to under 1.5 years,Morocco,Grant,2018 Q3,1
1 year to under 1.5 years,Occupied Palestinian Territories,Grant,2018 Q3,2
1 year to under 1.5 years,Pakistan,Grant,2018 Q3,2
1 year to under 1.5 years,Saudi Arabia,Grant,2018 Q3,1
1 year to under 1.5 years,Somalia,Grant,2018 Q3,1
1 year to under 1.5 years,Sri Lanka,Grant,2018 Q3,3
1 year to under 1.5 years,St. Lucia,Grant,2018 Q3,1
1 year to under 1.5 years,Sudan,Grant,2018 Q3,24
1 year to under 1.5 years,Syria,Grant,2018 Q3,6
1 year to under 1.5 years,Turkey,Grant,2018 Q3,7
1 year to under 1.5 years,Vietnam,Grant,2018 Q3,3
1 year to under 1.5 years,Afghanistan,Grant,2018 Q4,13
1 year to under 1.5 years,Albania,Grant,2018 Q4,2
1 year to under 1.5 years,Bangladesh,Grant,2018 Q4,2
1 year to under 1.5 years,Cameroon,Grant,2018 Q4,1
1 year to under 1.5 years,China,Grant,2018 Q4,1
1 year to under 1.5 years,Eritrea,Grant,2018 Q4,19
1 year to under 1.5 years,Ethiopia,Grant,2018 Q4,8
1 year to under 1.5 years,Ghana,Grant,2018 Q4,1
1 year to under 1.5 years,India,Grant,2018 Q4,1
1 year to under 1.5 years,Iran,Grant,2018 Q4,13
1 year to under 1.5 years,Iraq,Grant,2018 Q4,7
1 year to under 1.5 years,Jamaica,Grant,2018 Q4,1
1 year to under 1.5 years,Kenya,Grant,2018 Q4,1
1 year to under 1.5 years,Kuwait,Grant,2018 Q4,2
1 year to under 1.5 years,Lebanon,Grant,2018 Q4,1
1 year to under 1.5 years,Libya,Grant,2018 Q4,2
1 year to under 1.5 years,Malaysia,Grant,2018 Q4,4
1 year to under 1.5 years,Morocco,Grant,2018 Q4,2
1 year to under 1.5 years,Nigeria,Grant,2018 Q4,3
1 year to under 1.5 years,Occupied Palestinian Territories,Grant,2018 Q4,1
1 year to under 1.5 years,Pakistan,Grant,2018 Q4,2
1 year to under 1.5 years,Refugee,Grant,2018 Q4,1
1 year to under 1.5 years,Russia,Grant,2018 Q4,2
1 year to under 1.5 years,Sao Tome and Principe,Grant,2018 Q4,1
1 year to under 1.5 years,Saudi Arabia,Grant,2018 Q4,1
1 year to under 1.5 years,Somalia,Grant,2018 Q4,5
1 year to under 1.5 years,South Africa,Grant,2018 Q4,1
1 year to under 1.5 years,Sri Lanka,Grant,2018 Q4,1
1 year to under 1.5 years,Sudan,Grant,2018 Q4,35
1 year to under 1.5 years,Syria,Grant,2018 Q4,3
1 year to under 1.5 years,Turkey,Grant,2018 Q4,6
1 year to under 1.5 years,Uganda,Grant,2018 Q4,2
1 year to under 1.5 years,Ukraine,Grant,2018 Q4,1
1 year to under 1.5 years,Vietnam,Grant,2018 Q4,7
1 year to under 1.5 years,Yemen,Grant,2018 Q4,1
1 year to under 1.5 years,Afghanistan,Grant,2019 Q1,23
1 year to under 1.5 years,Albania,Grant,2019 Q1,4
1 year to under 1.5 years,Armenia,Grant,2019 Q1,1
1 year to under 1.5 years,Azerbaijan,Grant,2019 Q1,1
1 year to under 1.5 years,Bangladesh,Grant,2019 Q1,1
1 year to under 1.5 years,Burma,Grant,2019 Q1,1
1 year to under 1.5 years,Cameroon,Grant,2019 Q1,1
1 year to under 1.5 years,Chad,Grant,2019 Q1,1
1 year to under 1.5 years,Eritrea,Grant,2019 Q1,47
1 year to under 1.5 years,Ethiopia,Grant,2019 Q1,5
1 year to under 1.5 years,Guinea,Grant,2019 Q1,1
1 year to under 1.5 years,India,Grant,2019 Q1,1
1 year to under 1.5 years,Iran,Grant,2019 Q1,16
1 year to under 1.5 years,Iraq,Grant,2019 Q1,16
1 year to under 1.5 years,Libya,Grant,2019 Q1,6
1 year to under 1.5 years,Malawi,Grant,2019 Q1,1
1 year to under 1.5 years,Malaysia,Grant,2019 Q1,1
1 year to under 1.5 years,Mali,Grant,2019 Q1,1
1 year to under 1.5 years,Morocco,Grant,2019 Q1,1
1 year to under 1.5 years,Nigeria,Grant,2019 Q1,8
1 year to under 1.5 years,Pakistan,Grant,2019 Q1,13
1 year to under 1.5 years,Refugee,Grant,2019 Q1,6
1 year to under 1.5 years,Senegal,Grant,2019 Q1,1
1 year to under 1.5 years,Somalia,Grant,2019 Q1,4
1 year to under 1.5 years,Sri Lanka,Grant,2019 Q1,6
1 year to under 1.5 years,St. Vincent and the Grenadines,Grant,2019 Q1,1
1 year to under 1.5 years,Stateless,Grant,2019 Q1,1
1 year to under 1.5 years,Sudan,Grant,2019 Q1,58
1 year to under 1.5 years,Syria,Grant,2019 Q1,4
1 year to under 1.5 years,Trinidad and Tobago,Grant,2019 Q1,1
1 year to under 1.5 years,Turkey,Grant,2019 Q1,2
1 year to under 1.5 years,Uganda,Grant,2019 Q1,2
1 year to under 1.5 years,Venezuela,Grant,2019 Q1,2
1 year to under 1.5 years,Vietnam,Grant,2019 Q1,6
1 year to under 1.5 years,Yemen,Grant,2019 Q1,2
1 year to under 1.5 years,Afghanistan,Grant,2019 Q2,18
1 year to under 1.5 years,Albania,Grant,2019 Q2,8
1 year to under 1.5 years,Bangladesh,Grant,2019 Q2,4
1 year to under 1.5 years,Belarus,Grant,2019 Q2,1
1 year to under 1.5 years,Cameroon,Grant,2019 Q2,1
1 year to under 1.5 years,Chad,Grant,2019 Q2,1
1 year to under 1.5 years,Egypt,Grant,2019 Q2,3
1 year to under 1.5 years,Eritrea,Grant,2019 Q2,24
1 year to under 1.5 years,Ethiopia,Grant,2019 Q2,8
1 year to under 1.5 years,"Gambia, The",Grant,2019 Q2,1
1 year to under 1.5 years,Georgia,Grant,2019 Q2,1
1 year to under 1.5 years,Ghana,Grant,2019 Q2,2
1 year to under 1.5 years,India,Grant,2019 Q2,2
1 year to under 1.5 years,Iran,Grant,2019 Q2,19
1 year to under 1.5 years,Iraq,Grant,2019 Q2,13
1 year to under 1.5 years,Kenya,Grant,2019 Q2,2
1 year to under 1.5 years,Kuwait,Grant,2019 Q2,1
1 year to under 1.5 years,Libya,Grant,2019 Q2,4
1 year to under 1.5 years,Namibia,Grant,2019 Q2,2
1 year to under 1.5 years,Nigeria,Grant,2019 Q2,9
1 year to under 1.5 years,Occupied Palestinian Territories,Grant,2019 Q2,1
1 year to under 1.5 years,Pakistan,Grant,2019 Q2,5
1 year to under 1.5 years,Refugee,Grant,2019 Q2,11
1 year to under 1.5 years,Somalia,Grant,2019 Q2,2
1 year to under 1.5 years,South Africa,Grant,2019 Q2,1
1 year to under 1.5 years,Sri Lanka,Grant,2019 Q2,5
1 year to under 1.5 years,Stateless,Grant,2019 Q2,2
1 year to under 1.5 years,Sudan,Grant,2019 Q2,34
1 year to under 1.5 years,Syria,Grant,2019 Q2,2
1 year to under 1.5 years,Thailand,Grant,2019 Q2,1
1 year to under 1.5 years,Tunisia,Grant,2019 Q2,1
1 year to under 1.5 years,Turkey,Grant,2019 Q2,1
1 year to under 1.5 years,Uganda,Grant,2019 Q2,2
1 year to under 1.5 years,Vietnam,Grant,2019 Q2,13
1 year to under 1.5 years,Yemen,Grant,2019 Q2,1
1 year to under 1.5 years,Zimbabwe,Grant,2019 Q2,1
1 year to under 1.5 years,Afghanistan,Grant,2019 Q3,27
1 year to under 1.5 years,Albania,Grant,2019 Q3,8
1 year to under 1.5 years,Bangladesh,Grant,2019 Q3,5
1 year to under 1.5 years,Botswana,Grant,2019 Q3,2
1 year to under 1.5 years,Chad,Grant,2019 Q3,1
1 year to under 1.5 years,China,Grant,2019 Q3,1
1 year to under 1.5 years,Egypt,Grant,2019 Q3,2
1 year to under 1.5 years,Eritrea,Grant,2019 Q3,53
1 year to under 1.5 years,Ethiopia,Grant,2019 Q3,5
1 year to under 1.5 years,"Gambia, The",Grant,2019 Q3,1
1 year to under 1.5 years,Iran,Grant,2019 Q3,30
1 year to under 1.5 years,Iraq,Grant,2019 Q3,26
1 year to under 1.5 years,Kenya,Grant,2019 Q3,2
1 year to under 1.5 years,Kuwait,Grant,2019 Q3,3
1 year to under 1.5 years,Libya,Grant,2019 Q3,9
1 year to under 1.5 years,Malaysia,Grant,2019 Q3,2
1 year to under 1.5 years,Maldives,Grant,2019 Q3,1
1 year to under 1.5 years,Namibia,Grant,2019 Q3,1
1 year to under 1.5 years,Nigeria,Grant,2019 Q3,8
1 year to under 1.5 years,Occupied Palestinian Territories,Grant,2019 Q3,2
1 year to under 1.5 years,Pakistan,Grant,2019 Q3,14
1 year to under 1.5 years,Refugee,Grant,2019 Q3,4
1 year to under 1.5 years,Saudi Arabia,Grant,2019 Q3,1
1 year to under 1.5 years,Somalia,Grant,2019 Q3,2
1 year to under 1.5 years,South Africa,Grant,2019 Q3,1
1 year to under 1.5 years,Sri Lanka,Grant,2019 Q3,3
1 year to under 1.5 years,Stateless,Grant,2019 Q3,3
1 year to under 1.5 years,Sudan,Grant,2019 Q3,49
1 year to under 1.5 years,Syria,Grant,2019 Q3,18
1 year to under 1.5 years,Tunisia,Grant,2019 Q3,1
1 year to under 1.5 years,Turkey,Grant,2019 Q3,11
1 year to under 1.5 years,Uganda,Grant,2019 Q3,2
1 year to under 1.5 years,Ukraine,Grant,2019 Q3,2
1 year to under 1.5 years,Uzbekistan,Grant,2019 Q3,1
1 year to under 1.5 years,Vietnam,Grant,2019 Q3,34
1 year to under 1.5 years,Yemen,Grant,2019 Q3,3
1 year to under 1.5 years,Zambia,Grant,2019 Q3,1
1 year to under 1.5 years,Zimbabwe,Grant,2019 Q3,2
1 year to under 1.5 years,Afghanistan,Grant,2019 Q4,14
1 year to under 1.5 years,Albania,Grant,2019 Q4,10
1 year to under 1.5 years,Bangladesh,Grant,2019 Q4,9
1 year to under 1.5 years,Belarus,Grant,2019 Q4,1
1 year to under 1.5 years,Cameroon,Grant,2019 Q4,4
1 year to under 1.5 years,Chad,Grant,2019 Q4,1
1 year to under 1.5 years,China,Grant,2019 Q4,2
1 year to under 1.5 years,Congo (Democratic Republic),Grant,2019 Q4,1
1 year to under 1.5 years,Egypt,Grant,2019 Q4,2
1 year to under 1.5 years,El Salvador,Grant,2019 Q4,3
1 year to under 1.5 years,Eritrea,Grant,2019 Q4,117
1 year to under 1.5 years,Ethiopia,Grant,2019 Q4,7
1 year to under 1.5 years,Ghana,Grant,2019 Q4,4
1 year to under 1.5 years,India,Grant,2019 Q4,2
1 year to under 1.5 years,Iran,Grant,2019 Q4,71
1 year to under 1.5 years,Iraq,Grant,2019 Q4,40
1 year to under 1.5 years,Ivory Coast,Grant,2019 Q4,4
1 year to under 1.5 years,Jamaica,Grant,2019 Q4,1
1 year to under 1.5 years,Jordan,Grant,2019 Q4,1
1 year to under 1.5 years,Kenya,Grant,2019 Q4,1
1 year to under 1.5 years,Kuwait,Grant,2019 Q4,2
1 year to under 1.5 years,Lebanon,Grant,2019 Q4,1
1 year to under 1.5 years,Libya,Grant,2019 Q4,21
1 year to under 1.5 years,Malaysia,Grant,2019 Q4,3
1 year to under 1.5 years,Nigeria,Grant,2019 Q4,6
1 year to under 1.5 years,Occupied Palestinian Territories,Grant,2019 Q4,1
1 year to under 1.5 years,Pakistan,Grant,2019 Q4,21
1 year to under 1.5 years,Refugee,Grant,2019 Q4,7
1 year to under 1.5 years,Russia,Grant,2019 Q4,2
1 year to under 1.5 years,Rwanda,Grant,2019 Q4,1
1 year to under 1.5 years,Saudi Arabia,Grant,2019 Q4,2
1 year to under 1.5 years,Sierra Leone,Grant,2019 Q4,3
1 year to under 1.5 years,Somalia,Grant,2019 Q4,3
1 year to under 1.5 years,Sri Lanka,Grant,2019 Q4,5
1 year to under 1.5 years,St. Vincent and the Grenadines,Grant,2019 Q4,1
1 year to under 1.5 years,Stateless,Grant,2019 Q4,4
1 year to under 1.5 years,Sudan,Grant,2019 Q4,64
1 year to under 1.5 years,Sudan (South),Grant,2019 Q4,1
1 year to under 1.5 years,Syria,Grant,2019 Q4,21
1 year to under 1.5 years,Turkey,Grant,2019 Q4,16
1 year to under 1.5 years,Uganda,Grant,2019 Q4,3
1 year to under 1.5 years,Venezuela,Grant,2019 Q4,2
1 year to under 1.5 years,Vietnam,Grant,2019 Q4,26
1 year to under 1.5 years,Yemen,Grant,2019 Q4,8
1 year to under 1.5 years,Afghanistan,Grant,2020 Q1,21
1 year to under 1.5 years,Albania,Grant,2020 Q1,5
1 year to under 1.5 years,Bangladesh,Grant,2020 Q1,6
1 year to under 1.5 years,Burma,Grant,2020 Q1,1
1 year to under 1.5 years,Cameroon,Grant,2020 Q1,4
1 year to under 1.5 years,China,Grant,2020 Q1,7
1 year to under 1.5 years,Egypt,Grant,2020 Q1,1
1 year to under 1.5 years,Eritrea,Grant,2020 Q1,71
1 year to under 1.5 years,Ethiopia,Grant,2020 Q1,2
1 year to under 1.5 years,Guinea,Grant,2020 Q1,1
1 year to under 1.5 years,Iran,Grant,2020 Q1,100
1 year to under 1.5 years,Iraq,Grant,2020 Q1,40
1 year to under 1.5 years,Jamaica,Grant,2020 Q1,1
1 year to under 1.5 years,Kenya,Grant,2020 Q1,1
1 year to under 1.5 years,Kuwait,Grant,2020 Q1,4
1 year to under 1.5 years,Libya,Grant,2020 Q1,31
1 year to under 1.5 years,Malaysia,Grant,2020 Q1,7
1 year to under 1.5 years,Mauritania,Grant,2020 Q1,1
1 year to under 1.5 years,Morocco,Grant,2020 Q1,4
1 year to under 1.5 years,Namibia,Grant,2020 Q1,1
1 year to under 1.5 years,Nicaragua,Grant,2020 Q1,1
1 year to under 1.5 years,Nigeria,Grant,2020 Q1,8
1 year to under 1.5 years,Occupied Palestinian Territories,Grant,2020 Q1,3
1 year to under 1.5 years,Pakistan,Grant,2020 Q1,22
1 year to under 1.5 years,Refugee,Grant,2020 Q1,12
1 year to under 1.5 years,Russia,Grant,2020 Q1,6
1 year to under 1.5 years,Rwanda,Grant,2020 Q1,1
1 year to under 1.5 years,Somalia,Grant,2020 Q1,8
1 year to under 1.5 years,Sri Lanka,Grant,2020 Q1,1
1 year to under 1.5 years,Stateless,Grant,2020 Q1,3
1 year to under 1.5 years,Sudan,Grant,2020 Q1,75
1 year to under 1.5 years,Sudan (South),Grant,2020 Q1,1
1 year to under 1.5 years,Syria,Grant,2020 Q1,29
1 year to under 1.5 years,Tanzania,Grant,2020 Q1,1
1 year to under 1.5 years,Turkey,Grant,2020 Q1,11
1 year to under 1.5 years,Uganda,Grant,2020 Q1,3
1 year to under 1.5 years,Ukraine,Grant,2020 Q1,1
1 year to under 1.5 years,Venezuela,Grant,2020 Q1,1
1 year to under 1.5 years,Vietnam,Grant,2020 Q1,27
1 year to under 1.5 years,Yemen,Grant,2020 Q1,5
1 year to under 1.5 years,Zambia,Grant,2020 Q1,1
1 year to under 1.5 years,Zimbabwe,Grant,2020 Q1,3
1 year to under 1.5 years,Afghanistan,Grant,2020 Q2,11
1 year to under 1.5 years,Albania,Grant,2020 Q2,6
1 year to under 1.5 years,Algeria,Grant,2020 Q2,1
1 year to under 1.5 years,Bahrain,Grant,2020 Q2,1
1 year to under 1.5 years,Bangladesh,Grant,2020 Q2,3
1 year to under 1.5 years,Cameroon,Grant,2020 Q2,2
1 year to under 1.5 years,Chad,Grant,2020 Q2,1
1 year to under 1.5 years,China,Grant,2020 Q2,1
1 year to under 1.5 years,Congo (Democratic Republic),Grant,2020 Q2,2
1 year to under 1.5 years,Egypt,Grant,2020 Q2,1
1 year to under 1.5 years,El Salvador,Grant,2020 Q2,4
1 year to under 1.5 years,Eritrea,Grant,2020 Q2,21
1 year to under 1.5 years,Ghana,Grant,2020 Q2,1
1 year to under 1.5 years,Grenada,Grant,2020 Q2,1
1 year to under 1.5 years,Iran,Grant,2020 Q2,58
1 year to under 1.5 years,Iraq,Grant,2020 Q2,19
1 year to under 1.5 years,Jordan,Grant,2020 Q2,1
1 year to under 1.5 years,Kuwait,Grant,2020 Q2,1
1 year to under 1.5 years,Libya,Grant,2020 Q2,5
1 year to under 1.5 years,Malawi,Grant,2020 Q2,1
1 year to under 1.5 years,Malaysia,Grant,2020 Q2,2
1 year to under 1.5 years,Morocco,Grant,2020 Q2,1
1 year to under 1.5 years,Nigeria,Grant,2020 Q2,2
1 year to under 1.5 years,Occupied Palestinian Territories,Grant,2020 Q2,1
1 year to under 1.5 years,Pakistan,Grant,2020 Q2,8
1 year to under 1.5 years,Refugee,Grant,2020 Q2,5
1 year to under 1.5 years,Saudi Arabia,Grant,2020 Q2,1
1 year to under 1.5 years,Sierra Leone,Grant,2020 Q2,1
1 year to under 1.5 years,South Africa,Grant,2020 Q2,1
1 year to under 1.5 years,Stateless,Grant,2020 Q2,5
1 year to under 1.5 years,Sudan,Grant,2020 Q2,19
1 year to under 1.5 years,Sudan (South),Grant,2020 Q2,1
1 year to under 1.5 years,Syria,Grant,2020 Q2,16
1 year to under 1.5 years,Turkey,Grant,2020 Q2,2
1 year to under 1.5 years,Vietnam,Grant,2020 Q2,9
1 year to under 1.5 years,Zimbabwe,Grant,2020 Q2,2
1 year to under 1.5 years,Afghanistan,Grant,2020 Q3,15
1 year to under 1.5 years,Algeria,Grant,2020 Q3,1
1 year to under 1.5 years,Bangladesh,Grant,2020 Q3,1
1 year to under 1.5 years,El Salvador,Grant,2020 Q3,2
1 year to under 1.5 years,Eritrea,Grant,2020 Q3,22
1 year to under 1.5 years,Ethiopia,Grant,2020 Q3,3
1 year to under 1.5 years,"Gambia, The",Grant,2020 Q3,1
1 year to under 1.5 years,India,Grant,2020 Q3,1
1 year to under 1.5 years,Iran,Grant,2020 Q3,31
1 year to under 1.5 years,Iraq,Grant,2020 Q3,13
1 year to under 1.5 years,Kenya,Grant,2020 Q3,2
1 year to under 1.5 years,Libya,Grant,2020 Q3,6
1 year to under 1.5 years,Mexico,Grant,2020 Q3,1
1 year to under 1.5 years,Namibia,Grant,2020 Q3,1
1 year to under 1.5 years,Nicaragua,Grant,2020 Q3,2
1 year to under 1.5 years,Nigeria,Grant,2020 Q3,4
1 year to under 1.5 years,Occupied Palestinian Territories,Grant,2020 Q3,4
1 year to under 1.5 years,Oman,Grant,2020 Q3,1
1 year to under 1.5 years,Pakistan,Grant,2020 Q3,7
1 year to under 1.5 years,Refugee,Grant,2020 Q3,10
1 year to under 1.5 years,Saudi Arabia,Grant,2020 Q3,2
1 year to under 1.5 years,Sierra Leone,Grant,2020 Q3,1
1 year to under 1.5 years,Stateless,Grant,2020 Q3,1
1 year to under 1.5 years,Sudan,Grant,2020 Q3,9
1 year to under 1.5 years,Syria,Grant,2020 Q3,12
1 year to under 1.5 years,Trinidad and Tobago,Grant,2020 Q3,1
1 year to under 1.5 years,Turkey,Grant,2020 Q3,8
1 year to under 1.5 years,Vietnam,Grant,2020 Q3,11
1 year to under 1.5 years,Yemen,Grant,2020 Q3,3
1 year to under 1.5 years,Zimbabwe,Grant,2020 Q3,1
1 year to under 1.5 years,Afghanistan,Grant,2020 Q4,33
1 year to under 1.5 years,Albania,Grant,2020 Q4,2
1 year to under 1.5 years,Bangladesh,Grant,2020 Q4,1
1 year to under 1.5 years,Cameroon,Grant,2020 Q4,5
1 year to under 1.5 years,Chad,Grant,2020 Q4,1
1 year to under 1.5 years,China,Grant,2020 Q4,2
1 year to under 1.5 years,Egypt,Grant,2020 Q4,5
1 year to under 1.5 years,El Salvador,Grant,2020 Q4,12
1 year to under 1.5 years,Eritrea,Grant,2020 Q4,107
1 year to under 1.5 years,Ethiopia,Grant,2020 Q4,3
1 year to under 1.5 years,Georgia,Grant,2020 Q4,1
1 year to under 1.5 years,Honduras,Grant,2020 Q4,1
1 year to under 1.5 years,India,Grant,2020 Q4,2
1 year to under 1.5 years,Iran,Grant,2020 Q4,115
1 year to under 1.5 years,Iraq,Grant,2020 Q4,15
1 year to under 1.5 years,Jordan,Grant,2020 Q4,1
1 year to under 1.5 years,Kuwait,Grant,2020 Q4,6
